Element,Risk,Centroid,Lower,Upper
Water birds,Disease-Parasites,19.55080609,3.814383241,35.28722894
Water birds,Lack of Food,73.48138539,54.91695307,92.0458177
Water birds,Groundwater,10.66546697,3.896679695,17.43425424
Water birds,Lack of Mates,4.20812781,0,8.41625562
Water birds,Surface Water,38.00980674,21.70963191,54.30998158
Water birds,Grazing,1.906567573,0,3.813135147
Water birds,Fire,3.186743516,0,6.373487032
Water birds,Predation,1.382511461,0,2.765022922
Water birds,Salinity,39.46911914,22.86095661,56.07728168
Water birds,Hyperthermia,80.62839107,61.91847659,99.33830555
