Option,Element,Value,Centroid.1,Lower.1,Upper.1,Property.1,OptionNumber
Maintain Current/Hyp,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp/Rei,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/SW,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,6
Maintain Current/Rei,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,7
Maintain Current/Rei/SW,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,8
Maintain Current/SW,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,9
Do nothing,Insects,Adequate Resources,-2.52,-42.6,25.2,Species Richness,1
Do nothing,Insects,Aesthetically Pleasing Environment,-0.36,-17.4,30,Species Richness,1
Do nothing,Insects,Benign Physical Environment,0,-41.4,38,Species Richness,1
Do nothing,Insects,Cultural Heritage Fulfilment,-2.52,-42.6,25.2,Species Richness,1
Do nothing,Insects,Meaningful Occupation,-1.08,-75.8,4.8,Species Richness,1
Do nothing,Insects,Protection from other Organisms,0,-11,29.4,Species Richness,1
Do nothing,Insects,Recreational Enjoyment,0,-19,19.4,Species Richness,1
Do nothing,Insects,Social Fulfilment,0,-19,19.4,Species Richness,1
Do nothing,Insects,Spiritual-philosophical Fulfilment,-2.52,-42.6,25.2,Species Richness,1
Maintain Current,Insects,Adequate Resources,-0.42,-40.44,26.4,Species Richness,2
Maintain Current,Insects,Aesthetically Pleasing Environment,-0.06,-17.4,30.24,Species Richness,2
Maintain Current,Insects,Benign Physical Environment,0,-42.12,38,Species Richness,2
Maintain Current,Insects,Cultural Heritage Fulfilment,-0.42,-40.44,26.4,Species Richness,2
Maintain Current,Insects,Meaningful Occupation,-0.18,-62.48,4.8,Species Richness,2
Maintain Current,Insects,Protection from other Organisms,0,-11,29.64,Species Richness,2
Maintain Current,Insects,Recreational Enjoyment,0,-19,19.64,Species Richness,2
Maintain Current,Insects,Social Fulfilment,0,-19,19.64,Species Richness,2
Maintain Current,Insects,Spiritual-philosophical Fulfilment,-0.42,-40.44,26.4,Species Richness,2
Maintain Current/Hyp,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,3
Maintain Current/Hyp,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,3
Maintain Current/Hyp,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,3
Maintain Current/Hyp,Insects,Protection from other Organisms,0,-11,30,Species Richness,3
Maintain Current/Hyp,Insects,Recreational Enjoyment,0,-11,30,Species Richness,3
Maintain Current/Hyp,Insects,Social Fulfilment,0,-19,20,Species Richness,3
Maintain Current/Hyp,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp/Rei,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Protection from other Organisms,0,-11,30,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Recreational Enjoyment,0,-11,30,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Social Fulfilment,0,-19,20,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,4
